PosX, PosY, PosZ, NormVecX, NormVecY, NormVecZ,Value, IsRightHand
-0.2,-0.1,-0.1,-0.898509696,-0.427808677,0.098285617,86.04107126,1
-0.2,-0.1,0,-0.788805624,-0.248397925,0.562213624,80.23153328,1
-0.2,-0.1,0.1,-0.665928529,-0.086900014,0.740936962,77.37673763,1
-0.2,-0.1,0.2,-0.53086,-0.001976334,0.847457229,74.95128085,1
-0.2,-0.1,0.3,-0.498707717,0.227466999,0.836390685,71.0697459,1
-0.2,-0.1,0.4,-0.279230637,0.319581886,0.905482009,67.92083035,1
-0.2,0,-0.3,-0.585411171,0.355470382,-0.72865257,83.85710321,1
-0.2,0,-0.2,-0.80711412,0.305019209,-0.505499831,85.36820746,1
-0.2,0,-0.1,-0.940232339,0.157282958,0.302035131,83.64419715,1
-0.2,0,0,-0.713733391,0.196046829,0.672421213,81.89082806,1
-0.2,0,0.1,-0.649684794,0.369870056,0.66415797,77.93678663,1
-0.2,0,0.2,-0.466629457,0.455840337,0.757935708,75.69073952,1
-0.2,0,0.3,-0.296819755,0.434600808,0.850305928,71.03848549,1
-0.2,0,0.4,-0.274931265,0.461698918,0.843354557,69.35524215,1
-0.2,0.1,-0.3,-0.577092822,0.580854836,-0.574083212,81.23549691,1
-0.2,0.1,-0.2,-0.731421358,0.623289042,-0.276647008,81.76122119,1
-0.2,0.1,-0.1,-0.8076773,0.580050076,0.105826692,80.00710645,1
-0.2,0.1,0,-0.539445461,0.58196333,0.608536998,78.7657849,1
-0.2,0.1,0.1,-0.4651869,0.67420669,0.573625738,78.03664235,1
-0.2,0.1,0.2,-0.399107387,0.673855225,0.62179774,75.38789321,1
-0.2,0.1,0.3,-0.368778116,0.59070746,0.717681961,72.58011322,1
-0.2,0.1,0.4,-0.201989496,0.558797289,0.804329431,69.17387685,1
-0.2,0.2,-0.3,-0.469343047,0.762384645,-0.445518527,79.24005833,1
-0.2,0.2,-0.2,-0.526763745,0.806145451,-0.269535655,79.09827892,1
-0.2,0.2,-0.1,-0.576394492,0.812285476,0.089228329,76.87986498,1
-0.2,0.2,0,-0.459832629,0.794256358,0.397128179,77.21215581,1
-0.2,0.2,0.1,-0.398820865,0.817784199,0.41493484,76.95887319,1
-0.2,0.2,0.2,-0.330414126,0.756369686,0.564563019,74.41412171,1
-0.2,0.2,0.3,-0.340067135,0.738738071,0.581910995,73.8436255,1
-0.2,0.2,0.4,-0.184878281,0.662040322,0.726307534,70.553334,1
-0.1,-0.4,-0.3,-0.143251796,-0.768251775,-0.623913563,78.09101627,1
-0.1,-0.4,-0.2,-0.256118639,-0.901021685,-0.350090225,77.34573616,1
